year,gdp_pc_k,gdp_pc_c
1960,769.734104481774,142.3094146951745
1961,769.7152502065409,146.41881672877872
1962,782.2655737189245,147.72215094380186
1963,815.6786144515148,158.1028686748254
1964,842.6533733096563,164.10286660566047
1965,864.7944675878936,177.78075721933877
1966,850.051005923771,182.39122259078826
1967,841.2207883459332,180.11508389613275
1968,863.4082038470291,186.92868682153411
1969,887.2869196083061,200.77585220405626
1970,914.7215748158446,208.67108601895512
1971,949.4444047502265,220.5872390489919
1972,987.3572840366268,247.68405238345275
1973,1011.6265232135004,310.25022409147664
1974,1093.1301713451492,393.9364323375883
1975,1133.3371882458148,452.828299784439
1976,1263.6022849439719,497.5574083020881
1977,1228.8452969450784,528.3682379725146
1978,1183.6903541769684,574.3656345299149
1979,1213.7821077714711,684.187136479558
1980,1207.5796851118923,816.8315270805666
1981,1195.6240056843938,770.1049219702674
1982,1165.0958626976987,724.8052509706147
1983,1156.7907051332757,692.9933229444579
1984,1175.6810303089376,666.5681370958553
1985,1189.353897212998,634.9267495361613
1986,1163.0370002995564,691.511557121345
1987,1143.7657378471727,773.0295410379522
1988,1158.3272630681247,804.6514398554689
1989,1187.499983979873,811.5260027165573
1990,1203.5219447507523,1018.8003635623779
1991,1206.115055960454,1035.1436165516695
1992,1180.4353632157058,1037.5703524539795
1993,1172.8061447512425,974.9358460190982
1994,1171.37627536802,931.5953701532534
1995,1186.5692127147518,1000.2726228437062
1996,1224.9730571624036,1039.6880496322647
1997,1286.6172647783183,1058.9724200746907
1998,1320.0227405772582,1009.5578867273481
1999,1443.7317869824078,1040.2092975777412
2000,1470.8405767628153,1053.8126239670787
2001,1506.4806491909098,1017.6039179162391
2002,1536.4281594176878,1024.9981782712787
2003,1575.4299096199563,1220.7072187710012
2004,1672.4010540715726,1503.2031803156642
2005,1744.621747686635,1744.621747686635
2006,1760.5168088012015,1897.5103666588655
2007,1877.7472631688793,2183.2512960726212
2008,1953.1030420349573,2594.7441747116773
2009,1935.3938405577194,2174.743523724601
2010,1839.5956260543348,2283.93564285064
2011,1901.7764278573518,2650.664848792701
2012,1939.6309549517314,2626.112316540954
